"TIMESTAMP"	"STATUS"	"REGION"	"NUMBER"
"2020-06-14 10:45:00"	"recovered"	"Амурская область"	9
"2020-06-14 10:45:00"	"recovered"	"Архангельская область"	11
"2020-06-14 10:45:00"	"recovered"	"Астраханская область"	39
"2020-06-14 10:45:00"	"recovered"	"Белгородская область"	27
"2020-06-14 10:45:00"	"recovered"	"Брянская область"	90
"2020-06-14 10:45:00"	"recovered"	"Владимирская область"	78
"2020-06-14 10:45:00"	"recovered"	"Волгоградская область"	1
"2020-06-14 10:45:00"	"recovered"	"Вологодская область"	12
"2020-06-14 10:45:00"	"recovered"	"Воронежская область"	33
"2020-06-14 10:45:00"	"recovered"	"Еврейская автономная область"	2
"2020-06-14 10:45:00"	"recovered"	"Забайкальский край"	14
"2020-06-14 10:45:00"	"recovered"	"Ивановская область"	27
"2020-06-14 10:45:00"	"recovered"	"Иркутская область"	8
"2020-06-14 10:45:00"	"recovered"	"Кабардино-Балкарская Республика"	50
"2020-06-14 10:45:00"	"recovered"	"Калининградская область"	5
"2020-06-14 10:45:00"	"recovered"	"Калужская область"	27
"2020-06-14 10:45:00"	"recovered"	"Камчатский край"	13
"2020-06-14 10:45:00"	"recovered"	"Карачаево-Черкесская Республика"	31
"2020-06-14 10:45:00"	"recovered"	"Кемеровская область"	15
"2020-06-14 10:45:00"	"recovered"	"Кировская область"	39
"2020-06-14 10:45:00"	"recovered"	"Костромская область"	11
"2020-06-14 10:45:00"	"recovered"	"Краснодарский край"	33
"2020-06-14 10:45:00"	"recovered"	"Красноярский край"	41
"2020-06-14 10:45:00"	"recovered"	"Курганская область"	6
"2020-06-14 10:45:00"	"recovered"	"Курская область"	35
"2020-06-14 10:45:00"	"recovered"	"Ленинградская область"	38
"2020-06-14 10:45:00"	"recovered"	"Липецкая область"	8
"2020-06-14 10:45:00"	"recovered"	"Магаданская область"	0
"2020-06-14 10:45:00"	"recovered"	"Москва"	2133
"2020-06-14 10:45:00"	"recovered"	"Московская область"	839
"2020-06-14 10:45:00"	"recovered"	"Мурманская область"	8
"2020-06-14 10:45:00"	"recovered"	"Ненецкий автономный округ"	0
"2020-06-14 10:45:00"	"recovered"	"Нижегородская область"	125
"2020-06-14 10:45:00"	"recovered"	"Новгородская область"	1
"2020-06-14 10:45:00"	"recovered"	"Новосибирская область"	98
"2020-06-14 10:45:00"	"recovered"	"Омская область"	5
"2020-06-14 10:45:00"	"recovered"	"Оренбургская область"	31
"2020-06-14 10:45:00"	"recovered"	"Орловская область"	26
"2020-06-14 10:45:00"	"recovered"	"Пензенская область"	37
"2020-06-14 10:45:00"	"recovered"	"Пермский край"	44
"2020-06-14 10:45:00"	"recovered"	"Приморский край"	22
"2020-06-14 10:45:00"	"recovered"	"Псковская область"	10
"2020-06-14 10:45:00"	"recovered"	"Республика Адыгея"	19
"2020-06-14 10:45:00"	"recovered"	"Республика Алтай"	2
"2020-06-14 10:45:00"	"recovered"	"Республика Башкортостан"	14
"2020-06-14 10:45:00"	"recovered"	"Республика Бурятия"	29
"2020-06-14 10:45:00"	"recovered"	"Республика Дагестан"	21
"2020-06-14 10:45:00"	"recovered"	"Республика Ингушетия"	0
"2020-06-14 10:45:00"	"recovered"	"Республика Калмыкия"	17
"2020-06-14 10:45:00"	"recovered"	"Республика Карелия"	8
"2020-06-14 10:45:00"	"recovered"	"Республика Коми"	1
"2020-06-14 10:45:00"	"recovered"	"Республика Крым"	1
"2020-06-14 10:45:00"	"recovered"	"Республика Марий Эл"	13
"2020-06-14 10:45:00"	"recovered"	"Республика Мордовия"	119
