0	16645
100	156
10	21015
11	20715
1	18156
12	19430
13	17525
14	17338
15	17795
16	17490
17	17172
18	15843
19	15748
20	15098
21	15832
2	19472
22	15112
23	15965
24	16763
25	18201
26	18023
27	22159
28	24192
29	27162
30	28281
31	30148
3	22510
32	30821
33	30492
34	29767
35	29485
36	29927
37	28039
38	27021
39	27970
40	26233
41	26513
42	26184
4	23347
43	26323
44	26542
45	25169
46	24663
47	24471
48	23334
49	23471
50	21821
51	21237
52	20651
5	23805
53	21035
54	22008
55	22819
56	25139
57	26209
58	27763
59	29706
60	28332
61	28105
62	27828
6	23655
63	26907
64	28160
65	27949
66	25146
67	26529
68	25643
69	23722
70	24146
71	19271
72	18848
7	24121
73	16462
74	10070
75	6808
76	6490
77	9208
78	13995
79	15209
80	16232
81	15392
82	13557
8	22806
83	10990
84	8688
85	5985
86	4424
87	5114
88	4466
89	4414
90	3341
91	3007
9	21154
92	2184
93	1602
94	1123
95	735
96	505
97	239
98	186
99	141
