"TIMESTAMP"	"STATUS"	"REGION"	"NUMBER"
"2020-10-31 10:40:00"	"detected"	"Алтайский край"	217
"2020-10-31 10:40:00"	"detected"	"Амурская область"	139
"2020-10-31 10:40:00"	"detected"	"Архангельская область"	334
"2020-10-31 10:40:00"	"detected"	"Астраханская область"	124
"2020-10-31 10:40:00"	"detected"	"Белгородская область"	114
"2020-10-31 10:40:00"	"detected"	"Брянская область"	153
"2020-10-31 10:40:00"	"detected"	"Владимирская область"	99
"2020-10-31 10:40:00"	"detected"	"Волгоградская область"	206
"2020-10-31 10:40:00"	"detected"	"Вологодская область"	99
"2020-10-31 10:40:00"	"detected"	"Воронежская область"	298
"2020-10-31 10:40:00"	"detected"	"Еврейская автономная область"	40
"2020-10-31 10:40:00"	"detected"	"Забайкальский край"	229
"2020-10-31 10:40:00"	"detected"	"Ивановская область"	118
"2020-10-31 10:40:00"	"detected"	"Иркутская область"	230
"2020-10-31 10:40:00"	"detected"	"Кабардино-Балкарская Республика"	87
"2020-10-31 10:40:00"	"detected"	"Калининградская область"	101
"2020-10-31 10:40:00"	"detected"	"Калужская область"	109
"2020-10-31 10:40:00"	"detected"	"Камчатский край"	55
"2020-10-31 10:40:00"	"detected"	"Карачаево-Черкесская Республика"	87
"2020-10-31 10:40:00"	"detected"	"Кемеровская область"	182
"2020-10-31 10:40:00"	"detected"	"Кировская область"	154
"2020-10-31 10:40:00"	"detected"	"Костромская область"	123
"2020-10-31 10:40:00"	"detected"	"Краснодарский край"	135
"2020-10-31 10:40:00"	"detected"	"Красноярский край"	293
"2020-10-31 10:40:00"	"detected"	"Курганская область"	77
"2020-10-31 10:40:00"	"detected"	"Курская область"	124
"2020-10-31 10:40:00"	"detected"	"Ленинградская область"	138
"2020-10-31 10:40:00"	"detected"	"Липецкая область"	86
"2020-10-31 10:40:00"	"detected"	"Магаданская область"	50
"2020-10-31 10:40:00"	"detected"	"Москва"	4952
"2020-10-31 10:40:00"	"detected"	"Московская область"	535
"2020-10-31 10:40:00"	"detected"	"Мурманская область"	196
"2020-10-31 10:40:00"	"detected"	"Ненецкий автономный округ"	11
"2020-10-31 10:40:00"	"detected"	"Нижегородская область"	397
"2020-10-31 10:40:00"	"detected"	"Новгородская область"	87
"2020-10-31 10:40:00"	"detected"	"Новосибирская область"	182
"2020-10-31 10:40:00"	"detected"	"Омская область"	198
"2020-10-31 10:40:00"	"detected"	"Оренбургская область"	180
"2020-10-31 10:40:00"	"detected"	"Орловская область"	127
"2020-10-31 10:40:00"	"detected"	"Пензенская область"	168
"2020-10-31 10:40:00"	"detected"	"Пермский край"	167
"2020-10-31 10:40:00"	"detected"	"Приморский край"	197
"2020-10-31 10:40:00"	"detected"	"Псковская область"	117
"2020-10-31 10:40:00"	"detected"	"Республика Адыгея"	69
"2020-10-31 10:40:00"	"detected"	"Республика Алтай"	178
"2020-10-31 10:40:00"	"detected"	"Республика Башкортостан"	90
"2020-10-31 10:40:00"	"detected"	"Республика Бурятия"	226
"2020-10-31 10:40:00"	"detected"	"Республика Дагестан"	85
"2020-10-31 10:40:00"	"detected"	"Республика Ингушетия"	56
"2020-10-31 10:40:00"	"detected"	"Республика Калмыкия"	97
"2020-10-31 10:40:00"	"detected"	"Республика Карелия"	117
"2020-10-31 10:40:00"	"detected"	"Республика Коми"	236
"2020-10-31 10:40:00"	"detected"	"Республика Крым"	227
"2020-10-31 10:40:00"	"detected"	"Республика Марий Эл"	45
"2020-10-31 10:40:00"	"detected"	"Республика Мордовия"	67
"2020-10-31 10:40:00"	"detected"	"Республика Саха (Якутия)"	192
"2020-10-31 10:40:00"	"detected"	"Республика Северная Осетия — Алания"	63
"2020-10-31 10:40:00"	"detected"	"Республика Татарстан"	43
"2020-10-31 10:40:00"	"detected"	"Республика Тыва"	96
"2020-10-31 10:40:00"	"detected"	"Республика Хакасия"	144
"2020-10-31 10:40:00"	"detected"	"Республика Чувашия"	57
"2020-10-31 10:40:00"	"detected"	"Ростовская область"	313
"2020-10-31 10:40:00"	"detected"	"Рязанская область"	99
"2020-10-31 10:40:00"	"detected"	"Самарская область"	173
"2020-10-31 10:40:00"	"detected"	"Санкт-Петербург"	854
"2020-10-31 10:40:00"	"detected"	"Саратовская область"	196
"2020-10-31 10:40:00"	"detected"	"Сахалинская область"	92
"2020-10-31 10:40:00"	"detected"	"Свердловская область"	278
"2020-10-31 10:40:00"	"detected"	"Севастополь"	79
"2020-10-31 10:40:00"	"detected"	"Смоленская область"	112
"2020-10-31 10:40:00"	"detected"	"Ставропольский край"	192
"2020-10-31 10:40:00"	"detected"	"Тамбовская область"	93
"2020-10-31 10:40:00"	"detected"	"Тверская область"	152
"2020-10-31 10:40:00"	"detected"	"Томская область"	191
"2020-10-31 10:40:00"	"detected"	"Тульская область"	120
"2020-10-31 10:40:00"	"detected"	"Тюменская область"	149
"2020-10-31 10:40:00"	"detected"	"Удмуртская Республика"	125
"2020-10-31 10:40:00"	"detected"	"Ульяновская область"	205
"2020-10-31 10:40:00"	"detected"	"Хабаровский край"	232
"2020-10-31 10:40:00"	"detected"	"Ханты-Мансийский АО"	198
"2020-10-31 10:40:00"	"detected"	"Челябинская область "	158
"2020-10-31 10:40:00"	"detected"	"Чеченская Республика"	14
"2020-10-31 10:40:00"	"detected"	"Чукотский автономный округ"	2
"2020-10-31 10:40:00"	"detected"	"Ямало-Ненецкий автономный округ"	183
"2020-10-31 10:40:00"	"detected"	"Ярославская область"	127
"2020-10-31 10:40:00"	"recovered"	"Алтайский край"	90
"2020-10-31 10:40:00"	"recovered"	"Амурская область"	94
"2020-10-31 10:40:00"	"recovered"	"Архангельская область"	161
"2020-10-31 10:40:00"	"recovered"	"Астраханская область"	60
"2020-10-31 10:40:00"	"recovered"	"Белгородская область"	109
"2020-10-31 10:40:00"	"recovered"	"Брянская область"	93
"2020-10-31 10:40:00"	"recovered"	"Владимирская область"	89
