"TIMESTAMP"	"STATUS"	"REGION"	"NUMBER"
"2020-10-17 10:40:00"	"detected"	"Алтайский край"	184
"2020-10-17 10:40:00"	"detected"	"Амурская область"	65
"2020-10-17 10:40:00"	"detected"	"Архангельская область"	207
"2020-10-17 10:40:00"	"detected"	"Астраханская область"	73
"2020-10-17 10:40:00"	"detected"	"Белгородская область"	96
"2020-10-17 10:40:00"	"detected"	"Брянская область"	110
"2020-10-17 10:40:00"	"detected"	"Владимирская область"	79
"2020-10-17 10:40:00"	"detected"	"Волгоградская область"	173
"2020-10-17 10:40:00"	"detected"	"Вологодская область"	81
"2020-10-17 10:40:00"	"detected"	"Воронежская область"	224
"2020-10-17 10:40:00"	"detected"	"Еврейская автономная область"	29
"2020-10-17 10:40:00"	"detected"	"Забайкальский край"	194
"2020-10-17 10:40:00"	"detected"	"Ивановская область"	91
"2020-10-17 10:40:00"	"detected"	"Иркутская область"	187
"2020-10-17 10:40:00"	"detected"	"Кабардино-Балкарская Республика"	83
"2020-10-17 10:40:00"	"detected"	"Калининградская область"	79
"2020-10-17 10:40:00"	"detected"	"Калужская область"	92
"2020-10-17 10:40:00"	"detected"	"Камчатский край"	47
"2020-10-17 10:40:00"	"detected"	"Карачаево-Черкесская Республика"	81
"2020-10-17 10:40:00"	"detected"	"Кемеровская область"	176
"2020-10-17 10:40:00"	"detected"	"Кировская область"	104
"2020-10-17 10:40:00"	"detected"	"Костромская область"	86
"2020-10-17 10:40:00"	"detected"	"Краснодарский край"	102
"2020-10-17 10:40:00"	"detected"	"Красноярский край"	220
"2020-10-17 10:40:00"	"detected"	"Курганская область"	72
"2020-10-17 10:40:00"	"detected"	"Курская область"	93
"2020-10-17 10:40:00"	"detected"	"Ленинградская область"	102
"2020-10-17 10:40:00"	"detected"	"Липецкая область"	68
"2020-10-17 10:40:00"	"detected"	"Магаданская область"	49
"2020-10-17 10:40:00"	"detected"	"Москва"	4648
"2020-10-17 10:40:00"	"detected"	"Московская область"	458
"2020-10-17 10:40:00"	"detected"	"Мурманская область"	170
"2020-10-17 10:40:00"	"detected"	"Ненецкий автономный округ"	8
"2020-10-17 10:40:00"	"detected"	"Нижегородская область"	288
"2020-10-17 10:40:00"	"detected"	"Новгородская область"	65
"2020-10-17 10:40:00"	"detected"	"Новосибирская область"	135
"2020-10-17 10:40:00"	"detected"	"Омская область"	168
"2020-10-17 10:40:00"	"detected"	"Оренбургская область"	170
"2020-10-17 10:40:00"	"detected"	"Орловская область"	118
"2020-10-17 10:40:00"	"detected"	"Пензенская область"	165
"2020-10-17 10:40:00"	"detected"	"Пермский край"	119
"2020-10-17 10:40:00"	"detected"	"Приморский край"	108
"2020-10-17 10:40:00"	"detected"	"Псковская область"	75
"2020-10-17 10:40:00"	"detected"	"Республика Адыгея"	53
"2020-10-17 10:40:00"	"detected"	"Республика Алтай"	119
"2020-10-17 10:40:00"	"detected"	"Республика Башкортостан"	65
"2020-10-17 10:40:00"	"detected"	"Республика Бурятия"	121
"2020-10-17 10:40:00"	"detected"	"Республика Дагестан"	87
"2020-10-17 10:40:00"	"detected"	"Республика Ингушетия"	55
"2020-10-17 10:40:00"	"detected"	"Республика Калмыкия"	80
"2020-10-17 10:40:00"	"detected"	"Республика Карелия"	95
"2020-10-17 10:40:00"	"detected"	"Республика Коми"	157
"2020-10-17 10:40:00"	"detected"	"Республика Крым"	171
"2020-10-17 10:40:00"	"detected"	"Республика Марий Эл"	50
"2020-10-17 10:40:00"	"detected"	"Республика Мордовия"	65
"2020-10-17 10:40:00"	"detected"	"Республика Саха (Якутия)"	134
"2020-10-17 10:40:00"	"detected"	"Республика Северная Осетия — Алания"	43
"2020-10-17 10:40:00"	"detected"	"Республика Татарстан"	39
"2020-10-17 10:40:00"	"detected"	"Республика Тыва"	50
"2020-10-17 10:40:00"	"detected"	"Республика Хакасия"	75
"2020-10-17 10:40:00"	"detected"	"Республика Чувашия"	42
"2020-10-17 10:40:00"	"detected"	"Ростовская область"	287
